NOM,Prénom,Email,Mot de passe,Classe
BBI,Aaron,1@toto.com,,6 D
BEO,Abdellah,2@toto.com,,4 C
BERBI-COLO,Adam,3@toto.com,,3A
BES--DOHERT,Adam,4@toto.com,,6 C
BES--DOHERT,Adela,5@toto.com,,3 F
BET,Adem,6@toto.com,,"0,25"
BET,Adrian,7@toto.com,,5 D
BEYLI,Adrien,8@toto.com,,4 D
BEZILEIRI,Adrien,9@toto.com,,5 D
BIEOT,Adrien,10@toto.com,,"0,25"
BIRGHIIN,Adrien,11@toto.com,,3 F
BIRGIEO,Agathe,12@toto.com,,4 C
BIRVII,Agnès,13@toto.com,,6 L
BIS,Agnès,14@toto.com,,4 L
BITOV,Ahlam,15@toto.com,,3 L
BOFFI,Aida,16@toto.com,,3 F
BOIS,Aintzane,17@toto.com,,6 C
BORIEOD,Alaia,18@toto.com,,3 D
BORIEOD,Alaya,19@toto.com,,4 F
BOSC,Alboury,20@toto.com,,5 E
BOST TINOCO DE CONHE,Alessandro,21@toto.com,,4 G
BOY,Alexandre,22@toto.com,,6 E
BOZ,Alexandre,23@toto.com,,4 B
BRITO,Alexandre,24@toto.com,,6 B
BRONII-FIORINTINO,Alexane,25@toto.com,,4 C
BY,Alexia,26@toto.com,,3G
CBIRNIT,Alexiane,27@toto.com,,4 F
CEBY,Alice,28@toto.com,,"0,1666666667"
CEM,Aline,29@toto.com,,4 B
CERD,Alissia,30@toto.com,,"0,1666666667"
CERD,Alix,31@toto.com,,5 F
CERDETZ,Allan,32@toto.com,,6 C
CERDETZ,Allande,33@toto.com,,6 B
CESSOO-MENEGEL,Amaïa,34@toto.com,,3 B
CEZI--COLLIN,Amaiur,35@toto.com,,4 L
CHEDIEO,Amaiur,36@toto.com,,4 D
CHEMBRI,Amandine,37@toto.com,,6 C
CHEORREGE,Amandine,38@toto.com,,3 D
CHERT,Ambre,39@toto.com,,3 E
CHERY,Ambre,40@toto.com,,5 F
CHERY,Ambre,41@toto.com,,4 D
CHIBERNI,Ambre,42@toto.com,,"0,2083333333"
CHIBIRRY,Ambre,43@toto.com,,3 D
CHICOPER,Amélie,44@toto.com,,6 E
CHIGEREY,Amélie,45@toto.com,,5 D
CHI--HIINRICH,Amélie,46@toto.com,,5 C
CHIL,Amin,47@toto.com,,3 F
CHIN,Amy,48@toto.com,,"0,2083333333"
CHINNIC,Ana Luisa,49@toto.com,,4 G
CHIRON,Anaé,50@toto.com,,6 B
CHISNI,Anaëlle,51@toto.com,,5 E
CHITO,Anaëlle,52@toto.com,,5 C
CHITO,Anaïs,53@toto.com,,5 C
CHIT-PITRY,Ana-Louisa,54@toto.com,,"0,1666666667"
CHIT-PITRY,Ancelain,55@toto.com,,5 E
CHIVIRRY,Andoné,56@toto.com,,6 E
CHIVIRRY,Andoni,57@toto.com,,6 C
CHIVIRRY,Andoni,58@toto.com,,4 C
CHIVIRRY,Andoni,59@toto.com,,6 E
CHIVIRRY,Andoni,60@toto.com,,4 E
CHIVIRRY,Andrea,61@toto.com,,3 D
CHIVIRRY CESTEINGS,Andrea,62@toto.com,,5 F
CHOMMI,Andréa,63@toto.com,,"0,1666666667"
CHON,Angel,64@toto.com,,6 L
CIRON,Angel,65@toto.com,,3 F
CLE,Angel,66@toto.com,,"0,25"
CODIRO,Anna,67@toto.com,,5 B
COGEREY,Anna,68@toto.com,,3 B
COGEREY,Anna,69@toto.com,,4 E
COIOVRI,Anouk,70@toto.com,,3A
COLOMBI,Anouk,71@toto.com,,5 D
COMBI,Anthony,72@toto.com,,3A
COMBI,Anthony,73@toto.com,,4 D
COOFLI,Antoine,74@toto.com,,4 B
COOFLI,Antoine,75@toto.com,,"0,25"
COOIT,Antoine,76@toto.com,,3 B
COOREO,Antoine,77@toto.com,,4 F
COOREO,Antton,78@toto.com,,3 B
COOT,Antton,79@toto.com,,5 B
COSTE,Anushik,80@toto.com,,5 F
COYNECQ,Arthur,81@toto.com,,6 B
COYNECQ,Arthur,82@toto.com,,5 F
CQOIMIN,Arthur,83@toto.com,,4 D
